brand,country,observed_days,first_rank_date,latest_rank_date,latest_crawl_time
ugphone,KR,34,2026-05-20,2026-06-22,2026-06-22 10:18:26
ugphone,MX,34,2026-05-20,2026-06-22,2026-06-22 10:19:57
ugphone,MY,34,2026-05-20,2026-06-22,2026-06-22 10:15:02
ugphone,PH,34,2026-05-20,2026-06-22,2026-06-22 10:12:28
ugphone,PL,34,2026-05-20,2026-06-22,2026-06-22 10:22:42
ugphone,SG,34,2026-05-20,2026-06-22,2026-06-22 10:20:48
ugphone,TH,34,2026-05-20,2026-06-22,2026-06-22 10:10:38
ugphone,TR,34,2026-05-20,2026-06-22,2026-06-22 10:14:23
ugphone,TW,34,2026-05-20,2026-06-22,2026-06-22 10:17:24
ugphone,US,34,2026-05-20,2026-06-22,2026-06-22 10:19:07
ugphone,VN,34,2026-05-20,2026-06-22,2026-06-22 10:11:43
vsphone,BR,34,2026-05-20,2026-06-22,2026-06-22 11:02:21
vsphone,DE,30,2026-05-24,2026-06-22,2026-06-22 11:18:40
vsphone,FR,34,2026-05-20,2026-06-22,2026-06-22 11:24:04
vsphone,GB,34,2026-05-20,2026-06-22,2026-06-22 11:20:02
vsphone,HK,34,2026-05-20,2026-06-22,2026-06-22 11:06:52
vsphone,ID,34,2026-05-20,2026-06-22,2026-06-22 11:05:52
vsphone,IN,34,2026-05-20,2026-06-22,2026-06-22 11:21:11
vsphone,IT,34,2026-05-20,2026-06-22,2026-06-22 11:22:29
vsphone,JP,2,2026-06-18,2026-06-22,2026-06-22 11:15:56
vsphone,KR,34,2026-05-20,2026-06-22,2026-06-22 11:11:22
vsphone,MX,34,2026-05-20,2026-06-22,2026-06-22 11:14:00
vsphone,MY,34,2026-05-20,2026-06-22,2026-06-22 11:04:47
vsphone,PH,34,2026-05-20,2026-06-22,2026-06-22 11:01:38
vsphone,PL,34,2026-05-20,2026-06-22,2026-06-22 11:17:12
vsphone,SG,34,2026-05-20,2026-06-22,2026-06-22 11:15:29
vsphone,TH,34,2026-05-20,2026-06-22,2026-06-22 11:00:09
vsphone,TR,34,2026-05-20,2026-06-22,2026-06-22 11:03:39
vsphone,TW,34,2026-05-20,2026-06-22,2026-06-22 11:08:02
vsphone,US,30,2026-05-24,2026-06-22,2026-06-22 11:12:37
vsphone,VN,34,2026-05-20,2026-06-22,2026-06-22 11:00:49
